month,day,hora,estacion,cantidadpasos
1,1,0,ALB,106
1,1,0,AVE,984
1,1,0,DEL,671
1,1,0,ILL,88
1,1,1,ALB,407
1,1,1,AVE,4519
1,1,1,DEL,2502
1,1,1,ILL,361
1,1,2,ALB,641
1,1,2,AVE,6198
1,1,2,DEL,3192
1,1,2,ILL,500
1,1,3,ALB,428
1,1,3,AVE,4386
1,1,3,DEL,2241
1,1,3,ILL,456
1,1,4,ALB,213
1,1,4,AVE,2374
1,1,4,DEL,1456
1,1,4,ILL,219
1,1,5,ALB,181
1,1,5,AVE,1800
1,1,5,DEL,1297
1,1,5,ILL,197
1,1,6,ALB,167
1,1,6,AVE,1681
1,1,6,DEL,1340
1,1,6,ILL,209
1,1,7,ALB,122
1,1,7,AVE,1579
1,1,7,DEL,1157
1,1,7,ILL,210
1,1,8,ALB,122
1,1,8,AVE,1363
1,1,8,DEL,1090
1,1,8,ILL,198
1,1,9,ALB,119
1,1,9,AVE,1576
1,1,9,DEL,1103
1,1,9,ILL,227
1,1,10,ALB,195
1,1,10,AVE,2293
1,1,10,DEL,1647
1,1,10,ILL,295
1,1,11,ALB,314
1,1,11,AVE,3615
1,1,11,DEL,2292
1,1,11,ILL,433
1,1,12,ALB,454
1,1,12,AVE,5169
1,1,12,DEL,3112
1,1,12,ILL,668
1,1,13,ALB,470
1,1,13,AVE,5190
1,1,13,DEL,3146
1,1,13,ILL,610
1,1,14,ALB,329
1,1,14,AVE,3559
1,1,14,DEL,2334
1,1,14,ILL,466
1,1,15,ALB,322
1,1,15,AVE,3387
1,1,15,DEL,2203
1,1,15,ILL,499
1,1,16,ALB,261
1,1,16,AVE,4367
1,1,16,DEL,2354
1,1,16,ILL,527
1,1,17,AVE,5233
1,1,17,DEL,2999
1,1,17,ILL,575
1,1,18,AVE,6076
1,1,18,DEL,3676
1,1,18,ILL,595
1,1,19,AVE,6481
1,1,19,DEL,4214
1,1,19,ILL,661
1,1,20,ALB,226
1,1,20,AVE,7047
1,1,20,DEL,4464
1,1,20,ILL,634
1,1,21,ALB,608
1,1,21,AVE,6623
1,1,21,DEL,4320
1,1,21,ILL,667
1,1,22,ALB,453
1,1,22,AVE,5877
1,1,22,DEL,3140
1,1,22,ILL,530
1,1,23,ALB,438
1,1,23,AVE,5195
1,1,23,DEL,2662
1,1,23,ILL,478
1,2,0,ALB,313
1,2,0,AVE,3468
1,2,0,DEL,2025
1,2,0,ILL,361
1,2,1,ALB,159
1,2,1,AVE,1954
1,2,1,DEL,1044
1,2,1,ILL,306
1,2,2,ALB,90
1,2,2,AVE,972
1,2,2,DEL,569
1,2,2,ILL,141
1,2,3,ALB,49
1,2,3,AVE,759
1,2,3,DEL,620
1,2,3,ILL,153
1,2,4,ALB,72
1,2,4,AVE,1069
1,2,4,DEL,950
1,2,4,ILL,234
1,2,5,ALB,140
1,2,5,AVE,2451
1,2,5,DEL,1827
1,2,5,ILL,363
1,2,6,ALB,339
1,2,6,AVE,4524
1,2,6,DEL,2857
1,2,6,ILL,540
1,2,7,ALB,701
1,2,7,AVE,6349
1,2,7,DEL,3835
1,2,7,ILL,946
1,2,8,ALB,856
1,2,8,AVE,6690
1,2,8,DEL,4638
1,2,8,ILL,998
1,2,9,ALB,848
1,2,9,AVE,5982
1,2,9,DEL,4385
1,2,9,ILL,834
1,2,10,ALB,697
1,2,10,AVE,6303
1,2,10,DEL,4038
1,2,10,ILL,684
1,2,11,ALB,712
1,2,11,AVE,6790
1,2,11,DEL,4038
1,2,11,ILL,652
1,2,12,ALB,802
1,2,12,AVE,7117
1,2,12,DEL,4148
1,2,12,ILL,780
1,2,13,ALB,792
1,2,13,AVE,7197
1,2,13,DEL,4159
1,2,13,ILL,809
1,2,14,ALB,876
1,2,14,AVE,7714
1,2,14,DEL,4260
1,2,14,ILL,864
1,2,15,ALB,857
1,2,15,AVE,8129
1,2,15,DEL,4190
1,2,15,ILL,1039
1,2,16,ALB,872
1,2,16,AVE,8159
1,2,16,DEL,4238
1,2,16,ILL,2501
1,2,17,ALB,919
1,2,17,AVE,8388
1,2,17,DEL,4267
1,2,17,ILL,3414
1,2,18,ALB,726
1,2,18,AVE,8343
1,2,18,DEL,4340
1,2,18,ILL,3944
1,2,19,ALB,477
1,2,19,AVE,5984
1,2,19,DEL,3484
1,2,19,ILL,2739
1,2,20,ALB,613
1,2,20,AVE,5864
1,2,20,DEL,3321
1,2,20,ILL,2185
1,2,21,ALB,525
1,2,21,AVE,4599
1,2,21,DEL,2805
1,2,21,ILL,1565
1,2,22,ALB,412
1,2,22,AVE,3139
1,2,22,DEL,2044
1,2,22,ILL,1159
1,2,23,ALB,267
1,2,23,AVE,2343
1,2,23,DEL,1523
1,2,23,ILL,865
1,3,0,ALB,184
1,3,0,AVE,1944
1,3,0,DEL,1250
1,3,0,ILL,789
1,3,1,ALB,89
1,3,1,AVE,1294
1,3,1,DEL,979
1,3,1,ILL,530
1,3,2,ALB,51
1,3,2,AVE,808
1,3,2,DEL,739
1,3,2,ILL,413
1,3,3,ALB,53
1,3,3,AVE,721
1,3,3,DEL,745
1,3,3,ILL,376
1,3,4,ALB,54
1,3,4,AVE,1063
1,3,4,DEL,969
1,3,4,ILL,526
1,3,5,ALB,174
1,3,5,AVE,2701
1,3,5,DEL,2075
1,3,5,ILL,1075
1,3,6,ALB,438
1,3,6,AVE,5834
1,3,6,DEL,3430
1,3,6,ILL,2420
1,3,7,ALB,625
1,3,7,AVE,7681
1,3,7,DEL,4893
1,3,7,ILL,4703
1,3,8,ALB,18
1,3,8,AVE,7920
1,3,8,DEL,5581
1,3,8,ILL,5507
1,3,9,ALB,604
1,3,9,AVE,7759
1,3,9,DEL,5677
1,3,9,ILL,4922
1,3,10,ALB,976
1,3,10,AVE,8552
1,3,10,DEL,5417
1,3,10,ILL,4518
1,3,11,ALB,962
1,3,11,AVE,8702
1,3,11,DEL,5445
1,3,11,ILL,4201
1,3,12,ALB,960
1,3,12,AVE,9026
1,3,12,DEL,5428
1,3,12,ILL,3981
1,3,13,ALB,983
1,3,13,AVE,8804
1,3,13,DEL,5168
1,3,13,ILL,4058
1,3,14,ALB,1000
1,3,14,AVE,9075
1,3,14,DEL,5373
1,3,14,ILL,3840
1,3,15,ALB,1016
1,3,15,AVE,9630
1,3,15,DEL,5358
1,3,15,ILL,3976
1,3,16,ALB,1003
1,3,16,AVE,9439
1,3,16,DEL,5576
1,3,16,ILL,4201
1,3,17,ALB,1080
1,3,17,AVE,9489
1,3,17,DEL,5275
1,3,17,ILL,4753
1,3,18,ALB,963
1,3,18,AVE,9255
1,3,18,DEL,5200
1,3,18,ILL,3845
1,3,19,ALB,779
1,3,19,AVE,7733
1,3,19,DEL,4585
1,3,19,ILL,7
1,3,20,ALB,883
1,3,20,AVE,6957
1,3,20,DEL,4459
1,3,21,ALB,782
1,3,21,AVE,6309
1,3,21,DEL,4608
1,3,21,ILL,1
1,3,22,ALB,537
1,3,22,AVE,4208
1,3,22,DEL,3108
1,3,22,ILL,1
1,3,23,ALB,286
1,3,23,AVE,2884
1,3,23,DEL,2038
1,4,0,ALB,233
1,4,0,AVE,2597
1,4,0,DEL,1751
1,4,1,ALB,171
1,4,1,AVE,2197
1,4,1,DEL,1378
1,4,2,ALB,113
1,4,2,AVE,1552
1,4,2,DEL,1038
1,4,3,ALB,69
1,4,3,AVE,1163
1,4,3,DEL,857
1,4,4,ALB,96
1,4,4,AVE,1420
1,4,4,DEL,1010
1,4,4,ILL,1
1,4,5,ALB,168
1,4,5,AVE,2470
1,4,5,DEL,1768
1,4,6,ALB,307
1,4,6,AVE,3299
1,4,6,DEL,2262
1,4,7,ALB,490
1,4,7,AVE,4190
1,4,7,DEL,2800
1,4,8,ALB,658
1,4,8,AVE,4842
1,4,8,DEL,3234
1,4,8,ILL,1
1,4,9,ALB,721
1,4,9,AVE,5601
1,4,9,DEL,3645
1,4,10,ALB,726
1,4,10,AVE,6061
1,4,10,DEL,4023
1,4,11,ALB,659
1,4,11,AVE,6555
1,4,11,DEL,4110
1,4,12,ALB,778
1,4,12,AVE,6746
1,4,12,DEL,4218
1,4,13,ALB,671
1,4,13,AVE,6342
1,4,13,DEL,4185
1,4,14,ALB,579
1,4,14,AVE,5609
1,4,14,DEL,3778
1,4,15,ALB,520
1,4,15,AVE,5240
1,4,15,DEL,3353
1,4,16,ALB,534
1,4,16,AVE,5175
1,4,16,DEL,3078
1,4,17,ALB,533
1,4,17,AVE,5009
1,4,17,DEL,3038
1,4,18,ALB,530
1,4,18,AVE,5065
1,4,18,DEL,3341
